formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 291, y = 190, w = 42 x_3d = -0.0268 y_3d = 0.185 z_3d = 1.59, prob = 0.24
formula_perception_1  | x:-0.196599,	y:0.00935559
formula_perception_1  | obj_id = 2,  x = 291, y = 188, w = 42 x_3d = -0.0269 y_3d = 0.177 z_3d = 1.59, prob = 0.257
formula_perception_1  | x:-0.19685,	y:0.000286082
formula_perception_1  | obj_id = 2,  x = 291, y = 189, w = 42 x_3d = -0.0269 y_3d = 0.181 z_3d = 1.59, prob = 0.299
formula_perception_1  | x:-0.197063,	y:0.004832
formula_perception_1  | obj_id = 2,  x = 291, y = 189, w = 42 x_3d = -0.027 y_3d = 0.182 z_3d = 1.59, prob = 0.246
formula_perception_1  | x:-0.197488,	y:0.00484256
formula_perception_1  | obj_id = 2,  x = 291, y = 189, w = 42 x_3d = -0.0271 y_3d = 0.183 z_3d = 1.6, prob = 0.252
formula_perception_1  | x:-0.198159,	y:0.00485887
formula_perception_1  | obj_id = 2,  x = 290, y = 189, w = 42 x_3d = -0.0316 y_3d = 0.183 z_3d = 1.6, prob = 0.21
formula_perception_1  | x:-0.203165,	y:0.00486933
formula_perception_1  | obj_id = 2,  x = 291, y = 189, w = 42 x_3d = -0.0272 y_3d = 0.183 z_3d = 1.6, prob = 0.216
formula_perception_1  | x:-0.198843,	y:0.0048757
formula_perception_1  | obj_id = 2,  x = 283, y = 191, w = 62 x_3d = -0.0194 y_3d = 0.201 z_3d = 1.72, prob = 0.214
formula_perception_1  | x:-0.252499,	y:0.0150608
formula_perception_1  | obj_id = 2,  x = 280, y = 192, w = 64 x_3d = -0.0291 y_3d = 0.201 z_3d = 1.72, prob = 0.245
formula_perception_1  | x:-0.267759,	y:0.0200159
formula_perception_1  | obj_id = 2,  x = 280, y = 191, w = 66 x_3d = -0.0243 y_3d = 0.203 z_3d = 1.72, prob = 0.233
formula_perception_1  | x:-0.267664,	y:0.0150842
formula_perception_1  | obj_id = 2,  x = 277, y = 192, w = 69 x_3d = -0.034 y_3d = 0.205 z_3d = 1.73, prob = 0.25
formula_perception_1  | x:-0.283173,	y:0.020061
formula_perception_1  | obj_id = 2,  x = 277, y = 191, w = 70 x_3d = -0.0292 y_3d = 0.199 z_3d = 1.73, prob = 0.307
formula_perception_1  | x:-0.282836,	y:0.0151054
formula_perception_1  | obj_id = 2,  x = 276, y = 190, w = 72 x_3d = -0.0292 y_3d = 0.2 z_3d = 1.73, prob = 0.383
formula_perception_1  | x:-0.287916,	y:0.0101791
formula_perception_1  | obj_id = 2,  x = 275, y = 191, w = 74 x_3d = -0.0292 y_3d = 0.207 z_3d = 1.73, prob = 0.348
formula_perception_1  | x:-0.292671,	y:0.015104
formula_perception_1  | obj_id = 2,  x = 274, y = 191, w = 75 x_3d = -0.034 y_3d = 0.205 z_3d = 1.73, prob = 0.275
formula_perception_1  | x:-0.297986,	y:0.0151235
formula_perception_1  | obj_id = 2,  x = 274, y = 192, w = 76 x_3d = -0.0291 y_3d = 0.209 z_3d = 1.72, prob = 0.232
formula_perception_1  | x:-0.297144,	y:0.0200043
formula_perception_1  | obj_id = 2,  x = 274, y = 191, w = 76 x_3d = -0.0291 y_3d = 0.203 z_3d = 1.72, prob = 0.277
formula_perception_1  | x:-0.297062,	y:0.0150766
formula_perception_1  | obj_id = 2,  x = 276, y = 191, w = 75 x_3d = -0.0243 y_3d = 0.203 z_3d = 1.72, prob = 0.257
formula_perception_1  | x:-0.287139,	y:0.0150724
formula_perception_1  | obj_id = 2,  x = 275, y = 191, w = 74 x_3d = -0.0292 y_3d = 0.205 z_3d = 1.72, prob = 0.272
formula_perception_1  | x:-0.292579,	y:0.0150992
formula_perception_1  | obj_id = 2,  x = 275, y = 191, w = 74 x_3d = -0.0291 y_3d = 0.2 z_3d = 1.72, prob = 0.256
formula_perception_1  | x:-0.292187,	y:0.015079
formula_perception_1  | obj_id = 2,  x = 276, y = 191, w = 74 x_3d = -0.0243 y_3d = 0.199 z_3d = 1.72, prob = 0.223
formula_perception_1  | x:-0.287308,	y:0.0150813
formula_perception_1  | obj_id = 2,  x = 276, y = 192, w = 74 x_3d = -0.0242 y_3d = 0.203 z_3d = 1.72, prob = 0.23
formula_perception_1  | x:-0.286907,	y:0.0199772
formula_perception_1  | obj_id = 2,  x = 276, y = 191, w = 73 x_3d = -0.0292 y_3d = 0.201 z_3d = 1.72, prob = 0.213
formula_perception_1  | x:-0.287177,	y:0.0150744
formula_perception_1  | obj_id = 1,  x = 173, y = 178, w = 12 x_3d = -0.355 y_3d = nan z_3d = nan, prob = 0.205
formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 286, y = 192, w = 61 x_3d = -0.00977 y_3d = 0.201 z_3d = 1.72, prob = 0.229
formula_perception_1  | obj_id = 1,  x = 172, y = 177, w = 12 x_3d = nan y_3d = 0.00857 z_3d = 0.839, prob = 0.402
formula_perception_1  | x:-0.237627,	y:0.0199677
formula_perception_1  | x:-0.389443,	y:-0.0262352
formula_perception_1  | obj_id = 2,  x = 286, y = 192, w = 55 x_3d = -0.0243 y_3d = 0.199 z_3d = 1.72, prob = 0.23
formula_perception_1  | x:-0.238113,	y:0.0200085
formula_perception_1  | obj_id = 2,  x = 286, y = 192, w = 53 x_3d = -0.0292 y_3d = 0.201 z_3d = 1.73, prob = 0.248
formula_perception_1  | x:-0.238482,	y:0.0200395
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 52 x_3d = -0.0341 y_3d = 0.202 z_3d = 1.73, prob = 0.223
formula_perception_1  | x:-0.243933,	y:0.0200823
formula_perception_1  | obj_id = 2,  x = 286, y = 191, w = 51 x_3d = -0.0341 y_3d = 0.198 z_3d = 1.73, prob = 0.222
formula_perception_1  | x:-0.239336,	y:0.0151615
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.206
formula_perception_1  | x:-0.244668,	y:0.0201427
formula_perception_1  | obj_id = 2,  x = 286, y = 191, w = 51 x_3d = -0.0342 y_3d = 0.198 z_3d = 1.73, prob = 0.231
formula_perception_1  | x:-0.239531,	y:0.0151739
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.263
formula_perception_1  | x:-0.244709,	y:0.0201461
formula_perception_1  | obj_id = 2,  x = 286, y = 192, w = 50 x_3d = -0.0341 y_3d = 0.202 z_3d = 1.73, prob = 0.244
